query_id,cluster_id,query,answer,record_id
pq-0157,faq-32,Can you tell me what is the fine for returning a library book late?,The fine for late return is Rs. 2 per day per book.,faq#c32
pq-0158,faq-32,I want to know: what is the fine for returning a library book late?,The fine for late return is Rs. 2 per day per book.,faq#c32
pq-0159,faq-32,Tell me the fine for returning a library book late?,The fine for late return is Rs. 2 per day per book.,faq#c32
pq-0160,faq-32,What is the fine for returning a library book late? Please explain.,The fine for late return is Rs. 2 per day per book.,faq#c32
pq-0161,faq-33,What are the library timings?,The library is open from 8 AM to 8 PM on weekdays and from 9 AM to 5 PM on Saturdays. It is closed on Sundays.,faq#c33
pq-0162,faq-33,what are the library timings,The library is open from 8 AM to 8 PM on weekdays and from 9 AM to 5 PM on Saturdays. It is closed on Sundays.,faq#c33
pq-0163,faq-33,I want to know: what are the library timings?,The library is open from 8 AM to 8 PM on weekdays and from 9 AM to 5 PM on Saturdays. It is closed on Sundays.,faq#c33
pq-0164,faq-33,"pls help, what are the library timings?",The library is open from 8 AM to 8 PM on weekdays and from 9 AM to 5 PM on Saturdays. It is closed on Sundays.,faq#c33
pq-0165,faq-33,What are the library timings at AMYPO?,The library is open from 8 AM to 8 PM on weekdays and from 9 AM to 5 PM on Saturdays. It is closed on Sundays.,faq#c33
pq-0166,faq-34,What happens if I lose a library book?,"A lost book must be replaced with the same edition, or its cost plus a 10% processing fee must be paid.",faq#c34
pq-0167,faq-34,What happens if I lose a library book? Please explain.,"A lost book must be replaced with the same edition, or its cost plus a 10% processing fee must be paid.",faq#c34
pq-0168,faq-34,"pls help, what happens if i lose a library book?","A lost book must be replaced with the same edition, or its cost plus a 10% processing fee must be paid.",faq#c34
pq-0169,faq-34,quick question - What happens if I lose a library book?,"A lost book must be replaced with the same edition, or its cost plus a 10% processing fee must be paid.",faq#c34
pq-0170,faq-34,I want to know: what happens if I lose a library book?,"A lost book must be replaced with the same edition, or its cost plus a 10% processing fee must be paid.",faq#c34
pq-0171,faq-35,Can I access e-journals from home?,E-journals and e-books can be accessed from home through the library remote access link using your portal login.,faq#c35
pq-0172,faq-35,can i access e-journals from home,E-journals and e-books can be accessed from home through the library remote access link using your portal login.,faq#c35
pq-0173,faq-35,Can you tell me can I access e-journals from home?,E-journals and e-books can be accessed from home through the library remote access link using your portal login.,faq#c35
pq-0174,faq-35,I want to know: can I access e-journals from home?,E-journals and e-books can be accessed from home through the library remote access link using your portal login.,faq#c35
pq-0175,faq-35,quick question - Can I access e-journals from home?,E-journals and e-books can be accessed from home through the library remote access link using your portal login.,faq#c35
pq-0176,faq-36,Can I borrow reference books?,Reference books cannot be borrowed; they must be used inside the library.,faq#c36
pq-0177,faq-36,Can I borrow reference books? Please explain.,Reference books cannot be borrowed; they must be used inside the library.,faq#c36
pq-0178,faq-36,Can I borrow reference books at AMYPO?,Reference books cannot be borrowed; they must be used inside the library.,faq#c36
pq-0179,faq-36,Can you tell me can I borrow reference books?,Reference books cannot be borrowed; they must be used inside the library.,faq#c36
pq-0180,faq-36,can i borrow reference books,Reference books cannot be borrowed; they must be used inside the library.,faq#c36
pq-0181,faq-37,Can I renew a library book?,A book can be renewed once online for another 14 days if no one else has reserved it.,faq#c37
pq-0182,faq-37,can i renew a library book,A book can be renewed once online for another 14 days if no one else has reserved it.,faq#c37
pq-0183,faq-37,quick question - Can I renew a library book?,A book can be renewed once online for another 14 days if no one else has reserved it.,faq#c37
pq-0184,faq-37,"pls help, can i renew a library book?",A book can be renewed once online for another 14 days if no one else has reserved it.,faq#c37
pq-0185,faq-37,I want to know: can I renew a library book?,A book can be renewed once online for another 14 days if no one else has reserved it.,faq#c37
pq-0186,faq-38,Does the library have a reading room for exams?,A 24-hour reading room is open during the end-semester exam period.,faq#c38
pq-0187,faq-38,Does the library have a reading room for exams? Please explain.,A 24-hour reading room is open during the end-semester exam period.,faq#c38
pq-0188,faq-38,Can you tell me does the library have a reading room for exams?,A 24-hour reading room is open during the end-semester exam period.,faq#c38
pq-0189,faq-38,does the library have a reading room for exams,A 24-hour reading room is open during the end-semester exam period.,faq#c38
pq-0190,faq-38,Does the library have a reading room for exams at AMYPO?,A 24-hour reading room is open during the end-semester exam period.,faq#c38
pq-0191,faq-39,How do I register for placements?,Register on the placement portal by July 31 of your final year and upload your resume in the standard format.,faq#c39
pq-0192,faq-39,How do I register for placements at AMYPO?,Register on the placement portal by July 31 of your final year and upload your resume in the standard format.,faq#c39
pq-0193,faq-39,"pls help, how do i register for placements?",Register on the placement portal by July 31 of your final year and upload your resume in the standard format.,faq#c39
pq-0194,faq-39,Tell me the process to register for placements?,Register on the placement portal by July 31 of your final year and upload your resume in the standard format.,faq#c39
pq-0195,faq-39,Can you tell me how do I register for placements?,Register on the placement portal by July 31 of your final year and upload your resume in the standard format.,faq#c39
pq-0196,faq-40,How do I know if I am eligible for a company?,"Each company sets minimum CGPA, maximum backlogs, minimum attendance and required skills. The placement portal shows your eligibility for each drive.",faq#c40
pq-0197,faq-40,quick question - How do I know if I am eligible for a company?,"Each company sets minimum CGPA, maximum backlogs, minimum attendance and required skills. The placement portal shows your eligibility for each drive.",faq#c40
pq-0198,faq-40,How do I know if I am eligible for a company at AMYPO?,"Each company sets minimum CGPA, maximum backlogs, minimum attendance and required skills. The placement portal shows your eligibility for each drive.",faq#c40
pq-0199,faq-40,"pls help, how do i know if i am eligible for a company?","Each company sets minimum CGPA, maximum backlogs, minimum attendance and required skills. The placement portal shows your eligibility for each drive.",faq#c40
pq-0200,faq-40,how do i know if i am eligible for a company,"Each company sets minimum CGPA, maximum backlogs, minimum attendance and required skills. The placement portal shows your eligibility for each drive.",faq#c40
pq-0201,faq-41,What are the stages of a placement drive?,"A typical drive has a pre-placement talk, an online aptitude test, one or two technical interviews and an HR interview.",faq#c41
pq-0202,faq-41,What are the stages of a placement drive at AMYPO?,"A typical drive has a pre-placement talk, an online aptitude test, one or two technical interviews and an HR interview.",faq#c41
pq-0203,faq-41,Can you tell me what are the stages of a placement drive?,"A typical drive has a pre-placement talk, an online aptitude test, one or two technical interviews and an HR interview.",faq#c41
pq-0204,faq-41,"pls help, what are the stages of a placement drive?","A typical drive has a pre-placement talk, an online aptitude test, one or two technical interviews and an HR interview.",faq#c41
